data;ricoverati;terapia_intensiva;ospedalizzati;isolamento_domiciliare;totale_positivi;variazione_totale_positivi;nuovi_positivi;guariti;deceduti;totale_casi;tamponi;casi_testati;ingressi_terapia_intensiva;totale_positivi_test_molecolare;totale_positivi_test_antigenico_rapido;tamponi_test_molecolare;tamponi_test_antigenico_rapido;diff_ricoverati;diff_terapia_intensiva;diff_ospedalizzati;diff_isolamento_domiciliare;diff_totale_positivi;diff_variazione_totale_positivi;diff_nuovi_positivi;diff_guariti;diff_deceduti;diff_totale_casi;diff_tamponi;diff_totale_positivi_test_molecolare;diff_totale_positivi_test_antigenico_rapido;diff_tamponi_test_molecolare;diff_tamponi_test_antigenico_rapido;diff_casi_testati
"2020-09-23";"2658";"244";"2902";"43212";"46114";"625";"1640";"220665";"35758";"302537";"10679675";"6455762";"";"";"";"";"";"54";"5";"59";"566";"625";"215";"1640";"995";"20";"1640";"103696";"0";"0";"0";"0";"63763"
"2020-09-24";"2731";"246";"2977";"43803";"46780";"666";"1786";"221762";"35781";"304323";"10787694";"6520661";"";"";"";"";"";"73";"2";"75";"591";"666";"41";"1786";"1097";"23";"1786";"108019";"0";"0";"0";"0";"64899"
"2020-09-25";"2737";"244";"2981";"44737";"47718";"938";"1912";"222716";"35801";"306235";"10894963";"6584670";"";"";"";"";"";"6";"-2";"4";"934";"938";"272";"1912";"954";"20";"1912";"107269";"0";"0";"0";"0";"64009"
"2020-09-26";"2746";"247";"2993";"45600";"48593";"875";"1869";"223693";"35818";"308104";"10999350";"6646695";"";"";"";"";"";"9";"3";"12";"863";"875";"-63";"1869";"977";"17";"1869";"104387";"0";"0";"0";"0";"62025"
"2020-09-27";"2846";"254";"3100";"46518";"49618";"1025";"1766";"224417";"35835";"309870";"11087064";"6700432";"";"";"";"";"";"100";"7";"107";"918";"1025";"150";"1766";"724";"17";"1766";"87714";"0";"0";"0";"0";"53737"
"2020-09-28";"2977";"264";"3241";"47082";"50323";"705";"1494";"225190";"35851";"311364";"11138173";"6732777";"";"";"";"";"";"131";"10";"141";"564";"705";"-320";"1494";"773";"16";"1494";"51109";"0";"0";"0";"0";"32345"
"2020-09-29";"3048";"271";"3319";"47311";"50630";"307";"1648";"226506";"35875";"313011";"11228358";"6786395";"";"";"";"";"";"71";"7";"78";"229";"307";"-398";"1648";"1316";"24";"1648";"90185";"0";"0";"0";"0";"53618"
"2020-09-30";"3047";"280";"3327";"47936";"51263";"633";"1851";"227704";"35894";"314861";"11333922";"6848755";"";"";"";"";"";"-1";"9";"8";"625";"633";"326";"1851";"1198";"19";"1851";"105564";"0";"0";"0";"0";"62360"
"2020-10-01";"3097";"291";"3388";"49259";"52647";"1384";"2548";"228844";"35918";"317409";"11452158";"6916588";"";"";"";"";"";"50";"11";"61";"1323";"1384";"751";"2548";"1140";"24";"2548";"118236";"0";"0";"0";"0";"67833"
"2020-10-02";"3142";"294";"3436";"50561";"53997";"1350";"2499";"229970";"35941";"319908";"11572459";"6988317";"";"";"";"";"";"45";"3";"48";"1302";"1350";"-34";"2499";"1126";"23";"2499";"120301";"0";"0";"0";"0";"71729"
"2020-10-03";"3205";"297";"3502";"52064";"55566";"1569";"2844";"231217";"35968";"322751";"11691391";"7057949";"";"";"";"";"";"63";"3";"66";"1503";"1569";"219";"2844";"1247";"27";"2844";"118932";"0";"0";"0";"0";"69632"
"2020-10-04";"3287";"303";"3590";"53839";"57429";"1863";"2578";"231914";"35986";"325329";"11784105";"7117315";"";"";"";"";"";"82";"6";"88";"1775";"1863";"294";"2578";"697";"18";"2578";"92714";"0";"0";"0";"0";"59366"
"2020-10-05";"3487";"323";"3810";"55093";"58903";"1474";"2257";"232681";"36002";"327586";"11844346";"7153866";"";"";"";"";"";"200";"20";"220";"1254";"1474";"-389";"2257";"767";"16";"2257";"60241";"0";"0";"0";"0";"36551"
"2020-10-06";"3625";"319";"3944";"56190";"60134";"1231";"2677";"234099";"36030";"330263";"11944088";"7216379";"";"";"";"";"";"138";"-4";"134";"1097";"1231";"-243";"2677";"1418";"28";"2677";"99742";"0";"0";"0";"0";"62513"
"2020-10-07";"3782";"337";"4119";"58457";"62576";"2442";"3678";"235303";"36061";"333940";"12069402";"7296766";"";"";"";"";"";"157";"18";"175";"2267";"2442";"1211";"3678";"1204";"31";"3678";"125314";"0";"0";"0";"0";"80387"
"2020-10-08";"3925";"358";"4283";"61669";"65952";"3376";"4458";"236363";"36083";"338398";"12197500";"7365751";"";"";"";"";"";"143";"21";"164";"3212";"3376";"934";"4458";"1060";"22";"4458";"128098";"0";"0";"0";"0";"68985"
"2020-10-09";"4086";"387";"4473";"65637";"70110";"4158";"5372";"237549";"36111";"343770";"12326971";"7443593";"";"";"";"";"";"161";"29";"190";"3968";"4158";"782";"5372";"1186";"28";"5372";"129471";"0";"0";"0";"0";"77842"
"2020-10-10";"4336";"390";"4726";"70103";"74829";"4719";"5724";"238525";"36140";"349494";"12460055";"7523702";"";"";"";"";"";"250";"3";"253";"4466";"4719";"561";"5724";"976";"29";"5724";"133084";"0";"0";"0";"0";"80109"
"2020-10-11";"4519";"420";"4939";"74136";"79075";"4246";"5456";"239709";"36166";"354950";"12564713";"7592410";"";"";"";"";"";"183";"30";"213";"4033";"4246";"-473";"5456";"1184";"26";"5456";"104658";"0";"0";"0";"0";"68708"
"2020-10-12";"4821";"452";"5273";"77491";"82764";"3689";"4619";"240600";"36205";"359569";"12650155";"7652059";"";"";"";"";"";"302";"32";"334";"3355";"3689";"-557";"4619";"891";"39";"4619";"85442";"0";"0";"0";"0";"59649"
"2020-10-13";"5076";"514";"5590";"81603";"87193";"4429";"5901";"242028";"36246";"365467";"12762699";"7722319";"";"";"";"";"";"255";"62";"317";"4112";"4429";"740";"5901";"1428";"41";"5901";"112544";"0";"0";"0";"0";"70260"
"2020-10-14";"5470";"539";"6009";"86436";"92445";"5252";"7332";"244065";"36289";"372799";"12914895";"7809920";"";"";"";"";"";"394";"25";"419";"4833";"5252";"823";"7332";"2037";"43";"7332";"152196";"0";"0";"0";"0";"87601"
"2020-10-15";"5796";"586";"6382";"92884";"99266";"6821";"8804";"245964";"36372";"381602";"13077827";"7908462";"";"";"";"";"";"326";"47";"373";"6448";"6821";"1569";"8804";"1899";"83";"8804";"162932";"0";"0";"0";"0";"98542"
"2020-10-16";"6178";"638";"6816";"100496";"107312";"8046";"10010";"247872";"36427";"391611";"13228204";"8000864";"";"";"";"";"";"382";"52";"434";"7612";"8046";"1225";"10010";"1908";"55";"10010";"150377";"0";"0";"0";"0";"92402"
"2020-10-17";"6617";"705";"7322";"109613";"116935";"9623";"10925";"249127";"36474";"402536";"13394041";"8104190";"";"";"";"";"";"439";"67";"506";"9117";"9623";"1577";"10925";"1255";"47";"10925";"165837";"0";"0";"0";"0";"103326"
"2020-10-18";"7131";"750";"7881";"118356";"126237";"9302";"11705";"251461";"36543";"414241";"13540582";"8199744";"";"";"";"";"";"514";"45";"559";"8743";"9302";"-321";"11705";"2334";"69";"11705";"146541";"0";"0";"0";"0";"95554"
"2020-10-19";"7676";"797";"8473";"125530";"134003";"7766";"9338";"252959";"36616";"423578";"13639444";"8265568";"";"";"";"";"";"545";"47";"592";"7174";"7766";"-1536";"9338";"1498";"73";"9338";"98862";"0";"0";"0";"0";"65824"
"2020-10-20";"8454";"870";"9324";"133415";"142739";"8736";"10874";"255005";"36705";"434449";"13784181";"8353248";"";"";"";"";"";"778";"73";"851";"7885";"8736";"970";"10874";"2046";"89";"10874";"144737";"0";"0";"0";"0";"87680"
"2020-10-21";"9057";"926";"9983";"145459";"155442";"12703";"15199";"257374";"36832";"449648";"13962029";"8459736";"";"";"";"";"";"603";"56";"659";"12044";"12703";"3967";"15199";"2369";"127";"15199";"177848";"0";"0";"0";"0";"106488"
"2020-10-22";"9694";"992";"10686";"158616";"169302";"13860";"16079";"259456";"36968";"465726";"14132421";"8564608";"";"";"";"";"";"637";"66";"703";"13157";"13860";"1157";"16079";"2082";"136";"16079";"170392";"0";"0";"0";"0";"104872"
"2020-10-23";"10549";"1049";"11598";"174404";"186002";"16700";"19143";"261808";"37059";"484869";"14314453";"8679107";"";"";"";"";"";"855";"57";"912";"15788";"16700";"2840";"19143";"2352";"91";"19143";"182032";"0";"0";"0";"0";"114499"
"2020-10-24";"11287";"1128";"12415";"190767";"203182";"17180";"19644";"264117";"37210";"504509";"14492122";"8788780";"";"";"";"";"";"738";"79";"817";"16363";"17180";"480";"19644";"2309";"151";"19644";"177669";"0";"0";"0";"0";"109673"
"2020-10-25";"12006";"1208";"13214";"209027";"222241";"19059";"21273";"266203";"37338";"525782";"14654002";"8890656";"";"";"";"";"";"719";"80";"799";"18260";"19059";"1879";"21273";"2086";"128";"21273";"161880";"0";"0";"0";"0";"101876"
"2020-10-26";"12997";"1284";"14281";"222403";"236684";"14443";"17012";"268626";"37479";"542789";"14778688";"8969472";"";"";"";"";"";"991";"76";"1067";"13376";"14443";"-4616";"17012";"2423";"141";"17012";"124686";"0";"0";"0";"0";"78816"
"2020-10-27";"13955";"1411";"15366";"239724";"255090";"18406";"21994";"271988";"37700";"564778";"14953086";"9075818";"";"";"";"";"";"958";"127";"1085";"17321";"18406";"3963";"21994";"3362";"221";"21994";"174398";"0";"0";"0";"0";"106346"
"2020-10-28";"14981";"1536";"16517";"259940";"276457";"21367";"24991";"275404";"37905";"589766";"15152038";"9197638";"";"";"";"";"";"1026";"125";"1151";"20216";"21367";"2961";"24991";"3416";"205";"24991";"198952";"0";"0";"0";"0";"121820"
"2020-10-29";"15964";"1651";"17615";"281576";"299191";"22734";"26831";"279282";"38122";"616595";"15353490";"9316495";"";"";"";"";"";"983";"115";"1098";"21636";"22734";"1367";"26831";"3878";"217";"26831";"201452";"0";"0";"0";"0";"118857"
"2020-10-30";"16994";"1746";"18740";"307046";"325786";"26595";"31084";"283567";"38321";"647674";"15568575";"9446183";"";"";"";"";"";"1030";"95";"1125";"25470";"26595";"3861";"31084";"4285";"199";"31084";"215085";"0";"0";"0";"0";"129688"
"2020-10-31";"17966";"1843";"19809";"331577";"351386";"25600";"31758";"289426";"38618";"679430";"15784461";"9578462";"";"";"";"";"";"972";"97";"1069";"24531";"25600";"-995";"31758";"5859";"297";"31758";"215886";"0";"0";"0";"0";"132279"
"2020-11-01";"18902";"1939";"20841";"357288";"378129";"26743";"29907";"292380";"38826";"709335";"15967918";"9695940";"";"";"";"";"";"936";"96";"1032";"25711";"26743";"1143";"29907";"2954";"208";"29907";"183457";"0";"0";"0";"0";"117478"
"2020-11-02";"19840";"2022";"21862";"374650";"396512";"18383";"22253";"296017";"39059";"731588";"16103649";"9783603";"";"";"";"";"";"938";"83";"1021";"17362";"18383";"-8360";"22253";"3637";"233";"22253";"135731";"0";"0";"0";"0";"87663"
"2020-11-03";"21114";"2225";"23339";"394803";"418142";"21630";"28244";"302275";"39412";"759829";"16285936";"9893535";"";"";"";"";"";"1274";"203";"1477";"20153";"21630";"3247";"28244";"6258";"353";"28244";"182287";"0";"0";"0";"0";"109932"
"2020-11-04";"22116";"2292";"24408";"418827";"443235";"25093";"30550";"307378";"39747";"790377";"16497767";"10021035";"";"";"";"";"";"1002";"67";"1069";"24024";"25093";"3463";"30550";"5103";"335";"30550";"211831";"0";"0";"0";"0";"127500"
"2020-11-05";"23256";"2391";"25647";"446701";"472348";"29113";"34505";"312339";"40192";"824879";"16717651";"10155585";"";"";"";"";"";"1140";"99";"1239";"27874";"29113";"4020";"34505";"4961";"445";"34505";"219884";"0";"0";"0";"0";"134550"
"2020-11-06";"24005";"2515";"26520";"472598";"499118";"26770";"37809";"322925";"40638";"862681";"16951896";"10290151";"";"";"";"";"";"749";"124";"873";"25897";"26770";"-2343";"37809";"10586";"446";"37809";"234245";"0";"0";"0";"0";"134566"
"2020-11-07";"25109";"2634";"27743";"504793";"532536";"33418";"39811";"328891";"41063";"902490";"17183569";"10427797";"";"";"";"";"";"1104";"119";"1223";"32195";"33418";"6648";"39811";"5966";"425";"39811";"231673";"0";"0";"0";"0";"137646"
"2020-11-08";"26440";"2749";"29189";"529447";"558636";"26100";"32616";"335074";"41394";"935104";"17374713";"10547046";"";"";"";"";"";"1331";"115";"1446";"24654";"26100";"-7318";"32616";"6183";"331";"32616";"191144";"0";"0";"0";"0";"119249"
"2020-11-09";"27636";"2849";"30485";"542849";"573334";"14698";"25271";"345289";"41750";"960373";"17522438";"10635747";"";"";"";"";"";"1196";"100";"1296";"13402";"14698";"-11402";"25271";"10215";"356";"25271";"147725";"0";"0";"0";"0";"88701"
"2020-11-10";"28633";"2971";"31604";"558506";"590110";"16776";"35098";"363023";"42330";"995463";"17740196";"10765561";"";"";"";"";"";"997";"122";"1119";"15657";"16776";"2078";"35098";"17734";"580";"35098";"217758";"0";"0";"0";"0";"129814"
"2020-11-11";"29444";"3081";"32525";"580833";"613358";"23248";"32961";"372113";"42953";"1028424";"17965836";"10891971";"";"";"";"";"";"811";"110";"921";"22327";"23248";"6472";"32961";"9090";"623";"32961";"225640";"0";"0";"0";"0";"126410"
"2020-11-12";"29873";"3170";"33043";"602011";"635054";"21696";"37978";"387758";"43589";"1066401";"18200508";"11025449";"";"";"";"";"";"429";"89";"518";"21178";"21696";"-1552";"37978";"15645";"636";"37978";"234672";"0";"0";"0";"0";"133478"
"2020-11-13";"30914";"3230";"34144";"629782";"663926";"28872";"40902";"399238";"44139";"1107303";"18455416";"11170324";"";"";"";"";"";"1041";"60";"1101";"27771";"28872";"7176";"40902";"11480";"550";"40902";"254908";"0";"0";"0";"0";"144875"
"2020-11-14";"31398";"3306";"34704";"653731";"688435";"24509";"37255";"411434";"44683";"1144552";"18683111";"11305441";"";"";"";"";"";"484";"76";"560";"23949";"24509";"-4363";"37255";"12196";"544";"37255";"227695";"0";"0";"0";"0";"135117"
"2020-11-15";"32047";"3422";"35469";"677021";"712490";"24055";"33979";"420810";"45229";"1178529";"18878386";"11416172";"";"";"";"";"";"649";"116";"765";"23290";"24055";"-454";"33979";"9376";"546";"33979";"195275";"0";"0";"0";"0";"110731"
"2020-11-16";"32536";"3492";"36028";"681756";"717784";"5294";"27354";"442364";"45733";"1205881";"19031049";"11505254";"";"";"";"";"";"489";"70";"559";"4735";"5294";"-18761";"27354";"21554";"504";"27354";"152663";"0";"0";"0";"0";"89082"
"2020-11-17";"33074";"3612";"36686";"697124";"733810";"16026";"32191";"457798";"46464";"1238072";"19239507";"11620187";"";"";"";"";"";"538";"120";"658";"15368";"16026";"10732";"32191";"15434";"731";"32191";"208458";"0";"0";"0";"0";"114933"
"2020-11-18";"33504";"3670";"37174";"705994";"743168";"9358";"34282";"481967";"47217";"1272352";"19474341";"11744424";"";"";"";"";"";"430";"58";"488";"8870";"9358";"-6668";"34282";"24169";"753";"34282";"234834";"0";"0";"0";"0";"124237"
"2020-11-19";"33610";"3712";"37322";"724349";"761671";"18503";"36176";"498987";"47870";"1308528";"19724527";"11882821";"";"";"";"";"";"106";"42";"148";"18355";"18503";"9145";"36176";"17020";"653";"36176";"250186";"0";"0";"0";"0";"138397"
"2020-11-20";"33957";"3748";"37705";"739471";"777176";"15505";"37242";"520022";"48569";"1345767";"19962604";"11999674";"";"";"";"";"";"347";"36";"383";"15122";"15505";"-2998";"37242";"21035";"699";"37242";"238077";"0";"0";"0";"0";"116853"
"2020-11-21";"34063";"3758";"37821";"753925";"791746";"14570";"34767";"539524";"49261";"1380531";"20199829";"12120989";"";"";"";"";"";"106";"10";"116";"14454";"14570";"-935";"34767";"19502";"692";"34767";"237225";"0";"0";"0";"0";"121315"
"2020-11-22";"34279";"3801";"38080";"767867";"805947";"14201";"28337";"553098";"49823";"1408868";"20388576";"12225850";"";"";"";"";"";"216";"43";"259";"13942";"14201";"-369";"28337";"13574";"562";"28337";"188747";"0";"0";"0";"0";"104861"
"2020-11-23";"34697";"3810";"38507";"758342";"796849";"-9098";"22930";"584493";"50453";"1431795";"20537521";"12303705";"";"";"";"";"";"418";"9";"427";"-9525";"-9098";"-23299";"22930";"31395";"630";"22930";"148945";"0";"0";"0";"0";"77855"
"2020-11-24";"34577";"3816";"38393";"759993";"798386";"1537";"23232";"605330";"51306";"1455022";"20726180";"12398952";"";"";"";"";"";"-120";"6";"-114";"1651";"1537";"10635";"23232";"20837";"853";"23232";"188659";"0";"0";"0";"0";"95247"
"2020-11-25";"34313";"3848";"38161";"753536";"791697";"-6689";"25853";"637149";"52028";"1480874";"20956187";"12513129";"";"";"";"";"";"-264";"32";"-232";"-6457";"-6689";"-8226";"25853";"31819";"722";"25853";"230007";"0";"0";"0";"0";"114177"
"2020-11-26";"34038";"3846";"37884";"757961";"795845";"4148";"29003";"661180";"52850";"1509875";"21188898";"12623390";"";"";"";"";"";"-275";"-2";"-277";"4425";"4148";"10837";"29003";"24031";"822";"29003";"232711";"0";"0";"0";"0";"110261"
"2020-11-27";"33684";"3782";"37466";"750427";"787893";"-7952";"28352";"696647";"53677";"1538217";"21411701";"12729411";"";"";"";"";"";"-354";"-64";"-418";"-7534";"-7952";"-12100";"28352";"35467";"827";"28352";"222803";"0";"0";"0";"0";"106021"
"2020-11-28";"33299";"3762";"37061";"752247";"789308";"1415";"26323";"720861";"54363";"1564532";"21637641";"12842250";"";"";"";"";"";"-385";"-20";"-405";"1820";"1415";"9367";"26323";"24214";"686";"26323";"225940";"0";"0";"0";"0";"112839"
"2020-11-29";"32879";"3753";"36632";"759139";"795771";"6463";"20648";"734503";"54904";"1585178";"21814575";"12922382";"";"";"";"";"";"-420";"-9";"-429";"6892";"6463";"5048";"20648";"13642";"541";"20648";"176934";"0";"0";"0";"0";"80132"
"2020-11-30";"33187";"3744";"36931";"751540";"788471";"-7300";"16377";"757507";"55576";"1601554";"21945099";"12986634";"";"";"";"";"";"308";"-9";"299";"-7599";"-7300";"-13763";"16377";"23004";"672";"16377";"130524";"0";"0";"0";"0";"64252"
"2020-12-01";"32811";"3663";"36474";"743471";"779945";"-8526";"19350";"784595";"56361";"1620901";"22127199";"13071746";"";"";"";"";"";"-376";"-81";"-457";"-8069";"-8526";"-1226";"19350";"27088";"785";"19350";"182100";"0";"0";"0";"0";"85112"
"2020-12-02";"32454";"3616";"36070";"725160";"761230";"-18715";"20709";"823335";"57045";"1641610";"22334342";"13167345";"";"";"";"";"";"-357";"-47";"-404";"-18311";"-18715";"-10189";"20709";"38740";"684";"20709";"207143";"0";"0";"0";"0";"95599"
"2020-12-03";"31772";"3597";"35369";"724613";"759982";"-1248";"23225";"846809";"58038";"1664829";"22554389";"13264937";"217";"";"";"";"";"-682";"-19";"-701";"-547";"-1248";"17467";"23225";"23474";"993";"23225";"220047";"0";"0";"0";"0";"97592"
"2020-12-04";"31200";"3567";"34767";"722935";"757702";"-2280";"24099";"872385";"58852";"1688939";"22767130";"13348428";"201";"";"";"";"";"-572";"-30";"-602";"-1678";"-2280";"-1032";"24099";"25576";"814";"24099";"212741";"0";"0";"0";"0";"83491"
"2020-12-05";"30158";"3517";"33675";"720494";"754169";"-3533";"21052";"896308";"59514";"1709991";"22962114";"14243149";"192";"";"";"";"";"-1042";"-50";"-1092";"-2441";"-3533";"-1253";"21052";"23923";"662";"21052";"194984";"0";"0";"0";"0";"894721"
"2020-12-06";"30391";"3454";"33845";"721461";"755306";"1137";"18887";"913494";"60078";"1728878";"23125664";"13510154";"150";"";"";"";"";"233";"-63";"170";"967";"1137";"4670";"18887";"17186";"564";"18887";"163550";"0";"0";"0";"0";"-732995"
"2020-12-07";"30524";"3382";"33906";"714913";"748819";"-6487";"13720";"933132";"60606";"1742557";"23236881";"13563263";"144";"";"";"";"";"133";"-72";"61";"-6548";"-6487";"-7624";"13720";"19638";"528";"13720";"111217";"0";"0";"0";"0";"53109"
"2020-12-08";"30081";"3345";"33426";"704099";"737525";"-11294";"14842";"958629";"61240";"1757394";"23386113";"13622814";"192";"";"";"";"";"-443";"-37";"-480";"-10814";"-11294";"-4807";"14842";"25497";"634";"14842";"149232";"0";"0";"0";"0";"59551"
"2020-12-09";"29653";"3320";"32973";"677542";"710515";"-27010";"12756";"997895";"61739";"1770149";"23504588";"13673746";"152";"";"";"";"";"-428";"-25";"-453";"-26557";"-27010";"-15716";"12756";"39266";"499";"12756";"118475";"0";"0";"0";"0";"50932"
"2020-12-10";"29088";"3291";"32379";"664148";"696527";"-13988";"16999";"1027994";"62626";"1787147";"23676174";"13744859";"251";"";"";"";"";"-565";"-29";"-594";"-13394";"-13988";"13022";"16999";"30099";"887";"16999";"171586";"0";"0";"0";"0";"71113"
"2020-12-11";"28562";"3265";"31827";"658496";"690323";"-6204";"18727";"1052163";"63387";"1805873";"23866590";"13823013";"208";"";"";"";"";"-526";"-26";"-552";"-5652";"-6204";"7784";"18727";"24169";"761";"18727";"190416";"0";"0";"0";"0";"78154"
"2020-12-12";"28066";"3199";"31265";"653583";"684848";"-5475";"19903";"1076891";"64036";"1825775";"24063029";"13901576";"195";"";"";"";"";"-496";"-66";"-562";"-4913";"-5475";"729";"19903";"24728";"649";"19903";"196439";"0";"0";"0";"0";"78563"
"2020-12-13";"27735";"3158";"30893";"655138";"686031";"1183";"17938";"1093161";"64520";"1843712";"24215726";"13971600";"152";"";"";"";"";"-331";"-41";"-372";"1555";"1183";"6658";"17938";"16270";"484";"17938";"152697";"0";"0";"0";"0";"70024"
"2020-12-14";"27765";"3095";"30860";"644249";"675109";"-10922";"12030";"1115617";"65011";"1855737";"24319310";"14022752";"138";"";"";"";"";"30";"-63";"-33";"-10889";"-10922";"-12105";"12030";"22456";"491";"12030";"103584";"0";"0";"0";"0";"51152"
"2020-12-15";"27342";"3003";"30345";"632968";"663313";"-11796";"14844";"1141406";"65857";"1870576";"24483741";"14086989";"199";"";"";"";"";"-423";"-92";"-515";"-11281";"-11796";"-874";"14844";"25789";"846";"14844";"164431";"0";"0";"0";"0";"64237"
"2020-12-16";"26897";"2926";"29823";"615883";"645706";"-17607";"17572";"1175901";"66537";"1888144";"24683230";"14165961";"191";"";"";"";"";"-445";"-77";"-522";"-17085";"-17607";"-5811";"17572";"34495";"680";"17572";"199489";"0";"0";"0";"0";"78972"
"2020-12-17";"26427";"2855";"29282";"606061";"635343";"-10363";"18236";"1203814";"67220";"1906377";"24635720";"14246739";"183";"";"";"";"";"-470";"-71";"-541";"-9822";"-10363";"7244";"18236";"27913";"683";"18236";"-47510";"0";"0";"0";"0";"80778"
"2020-12-18";"25769";"2819";"28588";"599210";"627798";"-7545";"17992";"1226086";"67894";"1921778";"24815520";"14150088";"189";"";"";"";"";"-658";"-36";"-694";"-6851";"-7545";"2818";"17992";"22272";"674";"17992";"179800";"0";"0";"0";"0";"-96651"
"2020-12-19";"25364";"2784";"28148";"592018";"620166";"-7632";"16308";"1249470";"68447";"1938083";"24991705";"14225200";"160";"";"";"";"";"-405";"-35";"-440";"-7192";"-7632";"-87";"16308";"23384";"553";"16308";"176185";"0";"0";"0";"0";"75112"
"2020-12-20";"25158";"2743";"27901";"594859";"622760";"2594";"15104";"1261626";"68799";"1953185";"25129125";"14289494";"121";"";"";"";"";"-206";"-41";"-247";"2841";"2594";"10226";"15104";"12156";"352";"15104";"137420";"0";"0";"0";"0";"64294"
"2020-12-21";"25145";"2731";"27876";"585706";"613582";"-9178";"10872";"1281258";"69214";"1964054";"25217014";"14331832";"161";"";"";"";"";"-13";"-12";"-25";"-9153";"-9178";"-11772";"10872";"19632";"415";"10872";"87889";"0";"0";"0";"0";"42338"
"2020-12-22";"24948";"2687";"27635";"578320";"605955";"-7627";"13318";"1301573";"69842";"1977370";"25374719";"14386848";"201";"";"";"";"";"-197";"-44";"-241";"-7386";"-7627";"1551";"13318";"20315";"628";"13318";"157705";"0";"0";"0";"0";"55016"
"2020-12-23";"24546";"2624";"27170";"571646";"598816";"-7139";"14522";"1322067";"70395";"1991278";"25558583";"14453521";"216";"";"";"";"";"-402";"-63";"-465";"-6674";"-7139";"488";"14522";"20494";"553";"14522";"183864";"0";"0";"0";"0";"66673"
"2020-12-24";"24070";"2589";"26659";"566973";"593632";"-5184";"18040";"1344785";"70900";"2009317";"25752360";"14530706";"149";"";"";"";"";"-476";"-35";"-511";"-4673";"-5184";"1955";"18040";"22718";"505";"18040";"193777";"0";"0";"0";"0";"77185"
"2020-12-25";"23402";"2584";"25986";"553900";"579886";"-13746";"19037";"1377109";"71359";"2028354";"25904694";"14597413";"165";"";"";"";"";"-668";"-5";"-673";"-13073";"-13746";"-8562";"19037";"32324";"459";"19037";"152334";"0";"0";"0";"0";"66707"
"2020-12-26";"23312";"2580";"25892";"555051";"580943";"1057";"10431";"1386213";"71627";"2038783";"25986258";"14631296";"133";"";"";"";"";"-90";"-4";"-94";"1151";"1057";"14803";"10431";"9104";"268";"10431";"81564";"0";"0";"0";"0";"33883"
"2020-12-27";"23571";"2580";"26151";"555609";"581760";"817";"8913";"1394011";"71925";"2047696";"26046137";"14656053";"148";"";"";"";"";"259";"0";"259";"558";"817";"-240";"8913";"7798";"298";"8913";"59879";"0";"0";"0";"0";"24757"
"2020-12-28";"23932";"2565";"26497";"548724";"575221";"-6539";"8585";"1408686";"72370";"2056277";"26114818";"14685718";"167";"";"";"";"";"361";"-15";"346";"-6885";"-6539";"-7356";"8585";"14675";"445";"8585";"68681";"0";"0";"0";"0";"29665"
"2020-12-29";"23662";"2549";"26211";"542517";"568728";"-6493";"11224";"1425730";"73029";"2067487";"26243558";"14731420";"256";"";"";"";"";"-270";"-16";"-286";"-6207";"-6493";"46";"11224";"17044";"659";"11224";"128740";"0";"0";"0";"0";"45702"
"2020-12-30";"23566";"2528";"26094";"538301";"564395";"-4333";"16202";"1445690";"73604";"2083689";"26412603";"14795168";"175";"";"";"";"";"-96";"-21";"-117";"-4216";"-4333";"2160";"16202";"19960";"575";"16202";"169045";"0";"0";"0";"0";"63748"
"2020-12-31";"23151";"2555";"25706";"544190";"569896";"5501";"23477";"1463111";"74159";"2107166";"26598607";"14871966";"202";"";"";"";"";"-415";"27";"-388";"5889";"5501";"9834";"23477";"17421";"555";"23477";"186004";"0";"0";"0";"0";"76798"
"2021-01-01";"22822";"2553";"25375";"549392";"574767";"4871";"22211";"1479988";"74621";"2129376";"26756131";"14941976";"145";"";"";"";"";"-329";"-2";"-331";"5202";"4871";"-630";"22211";"16877";"462";"22211";"157524";"0";"0";"0";"0";"70010"
"2021-01-02";"22948";"2569";"25517";"551545";"577062";"2295";"11831";"1489154";"74985";"2141201";"26823305";"14972427";"134";"";"";"";"";"126";"16";"142";"2153";"2295";"-2576";"11831";"9166";"364";"11831";"67174";"0";"0";"0";"0";"30451"
"2021-01-03";"23075";"2583";"25658";"550556";"576214";"-848";"14245";"1503900";"75332";"2155446";"26926279";"15016737";"154";"";"";"";"";"127";"14";"141";"-989";"-848";"-3143";"14245";"14746";"347";"14245";"102974";"0";"0";"0";"0";"44310"
"2021-01-04";"23317";"2579";"25896";"544562";"570458";"-5756";"10800";"1520106";"75680";"2166244";"27004272";"15052154";"136";"";"";"";"";"242";"-4";"238";"-5994";"-5756";"-4908";"10800";"16206";"348";"10800";"77993";"0";"0";"0";"0";"35417"
"2021-01-05";"23395";"2569";"25964";"543197";"569161";"-1297";"15378";"1536129";"76329";"2181619";"27139378";"15106666";"202";"";"";"";"";"78";"-10";"68";"-1365";"-1297";"4459";"15378";"16023";"649";"15378";"135106";"0";"0";"0";"0";"54512"
"2021-01-06";"23174";"2571";"25745";"542967";"568712";"-449";"20331";"1556356";"76877";"2201945";"27317974";"15182385";"183";"";"";"";"";"-221";"2";"-219";"-230";"-449";"848";"20331";"20227";"548";"20331";"178596";"0";"0";"0";"0";"75719"
